,DLSs01,DLSs02,DLSs03,DLSt01,DLSt02,DLSt03,DPSs01,DPSs02,DPSs03,DPSt01,DPSt02,DPSt03,HLs01,HLs02,HLs03,HLt01,HLt02,HLt03,SLTs01,SLTs02,SLTs03,SLTt01,SLTt02,SLTt03,SLs01,SLs02,SLs03,SLt01,SLt02,SLt03,XSs01,XSs02,XSs03,XSt01,XSt02,XSt03
Zotu2252,1,0,0,0,10,4,1,1,0,9,5,14,1,0,0,1,2,10,0,0,1,10,85,19,5,1,2,0,0,1,0,0,0,2,3,0
Zotu2253,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2
Zotu2254,0,0,2,0,0,0,0,0,0,0,0,13,2,0,1,13,0,12,0,0,0,0,0,1,1,0,2,0,0,12,1,1,0,15,33,0
Zotu22545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu2255,0,0,0,7,15,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,109,0,0,0,0,0,0
Zotu2256,5,4,6,7,2,20,0,0,2,1,0,4,5,1,0,18,0,3,1,0,1,4,2,3,8,0,9,4,0,13,1,3,1,13,7,9
Zotu2257,16,0,20,0,0,3,0,2,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,5,218,107,0,0,0,3,10,2,0,0,0
Zotu2258,0,1,1,0,0,0,1,4,5,0,0,0,1,1,0,0,0,0,0,4,1,0,0,0,1,1,1,0,1,0,0,0,2,0,0,2
Zotu22583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Zotu22586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Zotu22587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
Zotu22589,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0
Zotu2259,13,322,55,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,3,0,0,0,1,0,0
Zotu22594,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0
Zotu22596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0
Zotu22598,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Zotu226,4,3,202,0,2,1,2,4180,0,1,1,1,50,34,40,2,0,1,2,2,4,5,0,5,155,73,84,1,25,1,73,313,44,0,0,3
Zotu2260,13,38,66,15,7,4,1,5,1,7,0,2,0,0,1,4,0,1,0,0,0,5,4,0,14,5,8,10,0,6,0,0,0,9,3,0
Zotu2261,0,0,0,0,11,0,0,0,0,0,1,1,0,0,0,7,0,8,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,12,25,0
Zotu2262,0,0,0,2,0,4,0,0,0,6,1,46,0,0,0,15,0,11,2,1,1,12,3,4,0,0,0,4,0,10,1,0,0,20,6,7
Zotu22624,1,0,0,4,5,5,0,0,100,0,5,0,0,0,0,0,1,0,3,5,8,0,0,0,1,0,0,6,11,5,13,2,35,0,19,16
Zotu2263,0,0,0,10,96,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,7,0,15,0,0,0,0,0,0
Zotu2264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2
Zotu2265,0,0,0,1,31,6,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,5,0,0,9,0,1,0,5,0,0,0,0,0,0
Zotu2266,251,37,93,3,0,1,9,5,1,2,1,0,1,0,1,5,0,1,0,0,1,0,1,1,13,1,16,1,0,4,1,3,0,1,4,2
Zotu22667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Zotu2267,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,1,0,0,0,1,3,1,0,1
Zotu22673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Zotu22679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zotu2268,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,6,242,138,0,0,0,0,0,2,0,0,0
Zotu22682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu22686,0,0,1,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0
Zotu2269,0,0,0,0,10,1,0,0,0,6,12,8,4,0,0,0,0,5,0,0,0,12,87,10,4,1,1,0,0,0,0,0,0,1,1,0
Zotu22698,0,0,0,0,0,0,2,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1
Zotu227,0,0,0,4,5,2,1,0,27,0,3,0,6,4,9,0,0,0,6,8,9,0,0,0,0,0,0,6,91,5,6,98,27,0,10,3
